code,Commodities
0,Ajwan
1,Alasande Gram
2,Almond(Badam)
3,Alsandikai
4,Amaranthus
5,Ambada Seed
6,Amla(Nelli Kai)
7,Amphophalus
8,Antawala
9,Anthorium
10,Apple
11,Apricot(Jardalu/Khumani)
12,Arecanut(Betelnut/Supari)
13,Arhar (Tur/Red Gram)(Whole)
14,Arhar Dal(Tur Dal)
15,Ashgourd
16,Astera
17,Avare Dal
18,Bajra(Pearl Millet/Cumbu)
19,Balekai
20,Bamboo
21,Banana
22,Banana - Green
23,Barley (Jau)
24,Bay leaf (Tejpatta)
25,Beans
26,Beaten Rice
27,Beetroot
28,Bengal Gram Dal (Chana Dal)
29,Bengal Gram(Gram)(Whole)
30,Ber(Zizyphus/Borehannu)
31,Betal Leaves
32,Betelnuts
33,Bhindi(Ladies Finger)
34,Big Gram
35,Binoula
36,Bitter gourd
37,Black Gram (Urd Beans)(Whole)
38,Black Gram Dal (Urd Dal)
39,Black pepper
40,BOP
41,Borehannu
42,Bottle gourd
43,Bran
44,Brinjal
45,Broken Rice
46,Broomstick(Flower Broom)
47,Bull
48,Bullar
49,Bunch Beans
50,Butter
51,Cabbage
52,Calf
53,Camel Hair
54,Cane
55,Capsicum
56,Cardamoms
57,Carnation
58,Carrot
59,Cashew Kernnel
60,Cashewnuts
61,Castor Oil
62,Castor Seed
63,Cauliflower
64,Chakotha
65,Chapparad Avare
66,Chennangi (Whole)
67,Chennangi Dal
68,Cherry
69,Chikoos(Sapota)
70,Chili Red
71,Chilly Capsicum
72,Chow Chow
73,Chrysanthemum
74,Chrysanthemum(Loose)
75,Cinamon(Dalchini)
76,Cloves
77,Cluster beans
78,Coca
79,Cock
80,Cocoa
81,Coconut
82,Coconut Oil
83,Coconut Seed
84,Coffee
85,Colacasia
86,Copra
87,Coriander(Leaves)
88,Corriander seed
89,Cotton
90,Cotton Seed
91,Cow
92,Cowpea (Lobia/Karamani)
93,Cowpea(Veg)
94,Cucumbar(Kheera)
95,Cummin Seed(Jeera)
96,Custard Apple (Sharifa)
97,Daila(Chandni)
98,Dal (Avare)
99,Dalda
100,Delha
101,Dhaincha
102,Drumstick
103,Dry Chillies
104,Dry Fodder
105,Dry Grapes
106,Duck
107,Duster Beans
108,Egg
109,Egypian Clover(Barseem)
110,Elephant Yam (Suran)
111,Field Pea
112,Fig(Anjura/Anjeer)
113,Firewood
114,Fish
115,Flower Broom
116,Foxtail Millet(Navane)
117,French Beans (Frasbean)
118,Galgal(Lemon)
119,Garlic
120,Ghee
121,Gingelly Oil
122,Ginger(Dry)
123,Ginger(Green)
124,Gladiolus Bulb
125,Gladiolus Cut Flower
126,Goat
127,Goat Hair
128,Gram Raw(Chholia)
129,Gramflour
130,Grapes
131,Green Avare (W)
132,Green Chilli
133,Green Fodder
134,Green Gram (Moong)(Whole)
135,Green Gram Dal (Moong Dal)
136,Green Peas
137,Ground Nut Oil
138,Ground Nut Seed
139,Groundnut
140,Groundnut (Split)
141,Groundnut pods (raw)
142,Guar
143,Guar Seed(Cluster Beans Seed)
144,Guava
145,Gur(Jaggery)
146,Gurellu
147,Haralekai
148,He Buffalo
149,Hen
150,Hippe Seed
151,Honey
152,Honge seed
153,Hybrid Cumbu
154,Indian Beans (Seam)
155,Indian Colza(Sarson)
156,Isabgul (Psyllium)
157,Jack Fruit
158,Jaffri
159,Jaggery
160,Jamamkhan
161,Jamun(Narale Hannu)
162,Jarbara
163,Jasmine
164,Javi
165,Jowar(Sorghum)
166,Jute
167,Jute Seed
168,Kabuli Chana(Chickpeas-White)
169,Kacholam
170,Kakada
171,Kankambra
172,Karamani
173,Karbuja(Musk Melon)
174,Kartali (Kantola)
175,Kharif Mash
176,Khoya
177,Kinnow
178,Knool Khol
179,Kodo Millet(Varagu)
180,Kuchur
181,Kulthi(Horse Gram)
182,Ladies Finger
183,Lak(Teora)
184,Leafy Vegetable
185,Lemon
186,Lentil (Masur)(Whole)
187,Lilly
188,Lime
189,Linseed
190,Lint
191,Litchi
192,Little gourd (Kundru)
193,Long Melon(Kakri)
194,Lotus
195,Lotus Sticks
196,Lukad
197,Mace
198,Mahedi
199,Mahua
200,Mahua Seed(Hippe seed)
201,Maida Atta
202,Maize
203,Mango
204,Mango (Raw-Ripe)
205,Maragensu
206,Marasebu
207,Marget
208,Marigold(Calcutta)
209,Marigold(loose)
210,Mash
211,Mashrooms
212,Masur Dal
213,Mataki
214,Methi Seeds
215,Methi(Leaves)
216,Millets
217,Mint(Pudina)
218,Moath Dal
219,Moath Dal
220,Mousambi(Sweet Lime)
221,Mustard
222,Mustard Oil
223,Myrobolan(Harad)
224,Nargasi
225,Nearle Hannu
226,Neem Seed
227,Nelli Kai
228,Niger Seed (Ramtil)
229,Nutmeg
230,Onion
231,Onion Green
232,Orange
233,Orchid
234,Other Pulses
235,Ox
236,Paddy(Dhan)(Basmati)
237,Paddy(Dhan)(Common)
238,Papaya
239,Papaya (Raw)
240,Patti Calcutta
241,Peach
242,Pear(Marasebu)
243,Peas cod
244,Peas Wet
245,Peas(Dry)
246,Pegeon Pea (Arhar Fali)
247,Pepper garbled
248,Pepper ungarbled
249,Persimon(Japani Fal)
250,Pigs
251,Pineapple
252,Plum
253,Pointed gourd (Parval)
254,Polherb
255,Pomegranate
256,Potato
257,Pumpkin
258,Pundi
259,Pundi Seed
260,Raddish
261,Ragi (Finger Millet)
262,Raibel
263,Rajgir
264,Ram
265,Rat Tail Radish (Mogari)
266,Raya
267,Red Gram
268,Resinwood
269,Riccbcan
270,Rice
271,Ridgeguard(Tori)
272,Rose(Local)
273,Rose(Loose))
274,Rose(Tata)
275,Round gourd
276,Rubber
277,Sabu Dan
278,Safflower
279,Saffron
280,Sajje
281,Same/Savi
282,Sarasum
283,Season Leaves
284,Seegu
285,Seemebadnekai
286,Seetapal
287,"Sesamum(Sesame,Gingelly,Til)"
288,She Buffalo
289,She Goat
290,Sheep
291,Siddota
292,Skin And Hide
293,Snakeguard
294,Soanf
295,Soapnut(Antawala/Retha)
296,Soji
297,Sompu
298,Soyabean
299,Spinach
300,Sponge gourd
301,Squash(Chappal Kadoo)
302,Sugar
303,Sugarcane
304,Sunflower
305,Sunflower Seed
306,Sunhemp
307,Suram
308,Surat Beans (Papadi)
309,Suva (Dill Seed)
310,Suvarna Gadde
311,Sweet Potato
312,Sweet Pumpkin
313,T.V. Cumbu
314,Tamarind Fruit
315,Tamarind Seed
316,Tapioca
317,Taramira
318,Tea
319,Tender Coconut
320,Thinai (Italian Millet)
321,Thogrikai
322,Thondekai
323,Tinda
324,Tobacco
325,Tomato
326,Torchwood
327,Toria
328,Tube Flower
329,Tube Rose(Double)
330,Tube Rose(Loose)
331,Tube Rose(Single)
332,Turmeric
333,Turmeric (raw)
334,Turnip
335,Walnut
336,Water Melon
337,Wheat
338,Wheat Atta
339,White Peas
340,White Pumpkin
341,Wood
342,Wool
343,Yam
344,Yam (Ratalu)
